Species,Max BE,Categ,#Sq,Atlasser Name,#PC,%PC,Abun,#Sq
Canada Goose,NY,CONF,1299,34 participants,971,2.4,0.1129,387
Mute Swan,NE,CONF,21,Rick J Schortinghuis,2,0,1.00E-04,2
Trumpeter Swan,NE,CONF,206,Lee Harding,32,0.08,0.0014,18
Wood Duck,NY,CONF,266,2 participants,24,0.06,0.0012,21
Gadwall,NE,CONF,204,4 participants,43,0.11,0.0043,32
American Wigeon,NE,CONF,380,4 participants,89,0.22,0.0063,51
American Black Duck,FY,CONF,1,Guy L. Monty,1,0,0,1
Mallard,NY,CONF,1304,9 participants,443,1.1,0.0375,275
Blue-winged Teal,NY,CONF,380,3 participants,43,0.11,0.0026,31
Cinnamon Teal,NE,CONF,223,2 participants,19,0.05,0.001,15
Northern Shoveler,NE,CONF,229,Guy L. Monty,22,0.05,0.0027,18
Northern Pintail,FY,CONF,100,18 participants,9,0.02,5.00E-04,8
Green-winged Teal,NE,CONF,503,8 participants,69,0.17,0.0035,55
Canvasback,NE,CONF,51,Andrew Tyrrell,2,0,4.00E-04,2
Redhead,NE,CONF,107,Marc-André Beaucher,10,0.02,6.00E-04,10
Ring-necked Duck,NY,CONF,611,3 participants,72,0.18,0.0063,57
Greater Scaup,D,PROB,6,Jeremiah J Kennedy,10,0.02,0.0017,5
Lesser Scaup,NE,CONF,347,Andrew Tyrrell,52,0.13,0.0085,39
Harlequin Duck,NE,CONF,186,Guy L. Monty,28,0.07,0.0034,24
Surf Scoter,P,PROB,15,3 participants,11,0.03,0.0024,10
White-winged Scoter,FY,CONF,36,Alan McKenzie,8,0.02,7.00E-04,8
Long-tailed Duck,H,POSS,3,3 participants,4,0.01,1.00E-04,3
Bufflehead,NY,CONF,674,Katharine Shewchuk,133,0.33,0.0067,85
Common Goldeneye,NY,CONF,384,3 participants,52,0.13,0.003,43
Barrow's Goldeneye,NY,CONF,703,3 participants,130,0.32,0.0083,103
Hooded Merganser,NY,CONF,417,Cathy E. Koot,18,0.04,7.00E-04,17
Common Merganser,NY,CONF,851,4 participants,166,0.41,0.0117,127
Red-breasted Merganser,FY,CONF,27,7 participants,19,0.05,0.0015,10
Ruddy Duck,NY,CONF,202,3 participants,28,0.07,0.0034,20
Chukar,FY,CONF,37,30 participants,22,0.05,0.001,12
Gray Partridge,FY,CONF,13,7 participants,3,0.01,1.00E-04,2
Ring-necked Pheasant,NY,CONF,108,Peter H. G Stockdale,67,0.17,0.002,39
Silver Pheasant,FY,CONF,2,2 participants,,,,
Indian Peafowl,FY,CONF,3,6 participants,5,0.01,2.00E-04,3
Ruffed Grouse,NY,CONF,1408,5 participants,1201,2.97,0.0311,486
Spruce Grouse,NY,CONF,426,Mark Wong,31,0.08,0.0013,30
Willow Ptarmigan,NE,CONF,63,7 participants,28,0.07,0.0014,13
Rock Ptarmigan,FY,CONF,40,10 participants,5,0.01,1.00E-04,2
White-tailed Ptarmigan,NY,CONF,123,Mark Wong,2,0,0,2
Dusky Grouse,NE,CONF,274,Alan E Burger,70,0.17,0.0019,47
Sooty Grouse,NE,CONF,443,Guy L. Monty,580,1.44,0.016,206
